bebidas_alcoolicas,refrigerantes_sucos,queijos,laticinios_sem_queijos,chas,carnes_resfriadas_congeladas,carnes_embutidas_defumadas,peixes_frutosdomar,frango,frutas,verduras_hortalicas,tuberculos,mercearia,doces_industrializados,enlatados_conserva_vacuo,padaria,massas,pratos_prontos,temperos_molhos,matinais
1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0
0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1
0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1
1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0
0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1
0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1
0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0
0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1
0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1
1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0
1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0
1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1
1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0
1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0
1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1
1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0
1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1
1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0
1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1
1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1
1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0
1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0
1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1
0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1
1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1
1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0
1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0
1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0
1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0
1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0
0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0
1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1
1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0
0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1
0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0
0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1
0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1
0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0
1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0
1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1
1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0
1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0
1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0
1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0
1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1
1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1
1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1
1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0
0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0
1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0
1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1
1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1
1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0
1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1
1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1
0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1
1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1
1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1
1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1
1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0
0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0
0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0
1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0
1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0
0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1
1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1
1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1
0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1
1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1
1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0
0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1
1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1
1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1
